DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
AAAF 25XM33X2;CONEXAO;;;;Analise Tecnica
AAAF 28X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 28X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 6XM10X1;CONEXAO;;;;Analise Tecnica
AAAF 6XM12X1.5;CONEXAO;;;;Analise Tecnica
AAAF 8X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 10X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 10X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 10X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 16X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 16X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 16X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 28X1.5/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 28X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 28X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 8X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 14X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 14X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 10X9/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 10XM12X1.5;CONEXAO;;;;Analise Tecnica
AAAF 10XM14X1.5;CONEXAO;;;;Analise Tecnica
AAAF 16X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 16XM18X1.5;CONEXAO;;;;Analise Tecnica
AAAF 16XM22X1.5;CONEXAO;;;;Analise Tecnica
AAAF 28XM33X2;CONEXAO;;;;Analise Tecnica
AAAF 30X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 8X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 8X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 8X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 10XM16X1.5;CONEXAO;;;;Analise Tecnica
AAAF 12.7X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 12X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 18X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 18X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 18X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 30X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 30X1.5/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 10X3/8 BSPT;CONEXAO;;;;Analise Tecnica
AAAM 10X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 10X9/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 12X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 12X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 12X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 18X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 18X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 18X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 14X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 14X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 15X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 12X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 12X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 12X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 18X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 18XM22X1.5;CONEXAO;;;;Analise Tecnica
AAAF 20X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 30XM22X1.5;CONEXAO;;;;Analise Tecnica
AAAF 30XM42X2;CONEXAO;;;;Analise Tecnica
AAAF 8XM12X1.5;CONEXAO;;;;Analise Tecnica
AAAF 8XM14X1.5;CONEXAO;;;;Analise Tecnica
AAAF 12X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 12X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 12X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 20X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 20X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 20X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 35X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 35X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 35X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 12.7X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 12X/7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 12X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 12X9/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 12XM16X1.5;CONEXAO;;;;Analise Tecnica
AAAF 12XM18X1.5;CONEXAO;;;;Analise Tecnica
AAAF 20X1.3/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 20X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 20X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 35X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 35X1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 35XM42X2;CONEXAO;;;;Analise Tecnica
AAAM 15X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 15X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 15X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 14X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 14X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 14X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 20X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 20X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 20X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 38X1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 38X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
